HIMAL,PSTATUS,count
Annapurna,Climbed,26
Annapurna,Unclimbed,2
Api/Byas Risi/Guras,Climbed,7
Api/Byas Risi/Guras,Unclimbed,11
Damodar,Climbed,26
Damodar,Unclimbed,1
Dhaulagiri,Climbed,20
Dhaulagiri,Unclimbed,5
Ganesh/Shringi,Climbed,11
Ganesh/Shringi,Unclimbed,9
Janak/Ohmi Kangri,Climbed,17
Janak/Ohmi Kangri,Unclimbed,13
Jongsang,Climbed,10
Jongsang,Unclimbed,4
Jugal,Climbed,18
Jugal,Unclimbed,4
Kangchenjunga/Simhalila,Climbed,22
Kangchenjunga/Simhalila,Unclimbed,8
Kanjiroba,Climbed,20
Kanjiroba,Unclimbed,6
Kanti/Palchung,Climbed,7
Kanti/Palchung,Unclimbed,14
Khumbu,Climbed,67
Khumbu,Unclimbed,12
Langtang,Climbed,12
Langtang,Unclimbed,2
Makalu,Climbed,6
Makalu,Unclimbed,3
Manaslu/Mansiri,Climbed,17
Manaslu/Mansiri,Unclimbed,4
Mukut/Mustang,Climbed,13
Mukut/Mustang,Unclimbed,2
Nalakankar/Chandi/Changla,Climbed,12
Nalakankar/Chandi/Changla,Unclimbed,5
Peri,Climbed,16
Peri,Unclimbed,4
Rolwaling,Climbed,45
Rolwaling,Unclimbed,3
Saipal,Climbed,3
Saipal,Unclimbed,3
